Comunidades y Ciudades Autónomas	Edad del trabajador	Sexo	Periodo	Total
Navarra, Comunidad Foral de	De 25 a 34 años	Mujeres	2019	-20.918,77
Navarra, Comunidad Foral de	De 25 a 34 años	Mujeres	2018	-19.276,76
Navarra, Comunidad Foral de	De 25 a 34 años	Hombres	2020	24.946,93
Navarra, Comunidad Foral de	De 25 a 34 años	Hombres	2019	24.103,46
Navarra, Comunidad Foral de	De 25 a 34 años	Hombres	2018	24.926,41
País Vasco	De 25 a 34 años	Mujeres	2020	22.090,38
País Vasco	De 25 a 34 años	Mujeres	2019	20.620,36
País Vasco	De 25 a 34 años	Mujeres	2018	19.924,54
País Vasco	De 25 a 34 años	Hombres	2020	25.804,45
País Vasco	De 25 a 34 años	Hombres	2019	25.309,68
País Vasco	De 25 a 34 años	Hombres	2018	24.678,99
Rioja, La	De 25 a 34 años	Mujeres	2020	-17.372,09
Rioja, La	De 25 a 34 años	Mujeres	2019	-16.985,88
Rioja, La	De 25 a 34 años	Mujeres	2018	-17.096,65
Rioja, La	De 25 a 34 años	Hombres	2020	-20.184,33
Rioja, La	De 25 a 34 años	Hombres	2019	-19.807,27
Rioja, La	De 25 a 34 años	Hombres	2018	-20.393,51
